iter	Passed	Remaining
403	8056	11884
404	8075	11864
405	8095	11844
406	8115	11824
407	8137	11806
408	8156	11786
409	8178	11768
410	8195	11745
411	8212	11721
412	8234	11703
413	8255	11685
414	8274	11664
415	8294	11643
416	8314	11623
417	8334	11604
418	8356	11587
419	8378	11570
420	8397	11549
421	8424	11538
422	8462	11543
423	8485	11527
424	8506	11508
425	8528	11491
426	8549	11472
427	8568	11451
428	8588	11431
429	8609	11413
430	8631	11395
431	8652	11375
432	8674	11358
433	8693	11338
434	8713	11317
435	8734	11298
436	8753	11278
437	8776	11261
438	8795	11239
439	8814	11219
440	8833	11196
441	8852	11176
442	8873	11156
443	8891	11134
444	8912	11115
445	8931	11094
446	8952	11075
447	8971	11054
448	8991	11033
449	9010	11013
450	9030	10992
451	9048	10970
452	9069	10951
453	9089	10931
454	9107	10908
455	9125	10886
456	9144	10865
457	9162	10843
458	9183	10823
459	9201	10801
460	9221	10781
461	9241	10761
462	9259	10738
463	9278	10717
464	9298	10697
465	9319	10679
466	9340	10660
467	9359	10639
468	9381	10621
469	9401	10601
470	9422	10582
471	9444	10565
472	9463	10544
473	9484	10525
474	9505	10505
475	9522	10482
476	9542	10462
477	9561	10441
478	9582	10422
479	9601	10402
480	9621	10381
481	9641	10361
482	9659	10338
483	9675	10315
484	9695	10294
485	9715	10275
486	9734	10254
487	9754	10234
488	9773	10212
489	9790	10190
490	9809	10168
491	9828	10147
492	9846	10125
493	9864	10104
494	9883	10083
495	9902	10061
496	9919	10038
497	9937	10017
498	9956	9996
499	9977	9977
500	9994	9954
501	10012	9932
502	10031	9911
503	10050	9890
504	10067	9868
505	10086	9847
506	10104	9825
507	10122	9803
508	10141	9783
509	10163	9764
510	10181	9743
511	10198	9720
512	10215	9697
513	10235	9677
514	10253	9656
515	10272	9635
516	10290	9614
517	10309	9593
518	10329	9573
519	10348	9552
520	10368	9532
521	10388	9513
522	10406	9491
523	10424	9469
524	10446	9451
525	10467	9432
526	10490	9415
527	10509	9395
528	10528	9374
529	10549	9355
530	10570	9335
531	10588	9314
532	10605	9292
533	10624	9271
534	10644	9251
535	10664	9232
536	10682	9210
537	10700	9189
538	10719	9168
539	10740	9148
540	10759	9129
541	10778	9108
542	10797	9087
543	10816	9066
544	10833	9044
545	10850	9022
546	10869	9001
547	10889	8982
548	10911	8963
549	10932	8944
550	10950	8923
551	10969	8902
552	10987	8881
553	11008	8862
554	11026	8840
555	11043	8818
556	11063	8799
557	11083	8779
558	11101	8757
559	11119	8736
560	11137	8715
561	11154	8693
562	11173	8672
563	11192	8652
564	11210	8631
565	11229	8610
566	11247	8589
567	11265	8568
568	11283	8547
569	11303	8527
570	11324	8508
571	11342	8487
572	11361	8466
573	11378	8444
574	11398	8424
575	11415	8403
576	11433	8382
577	11454	8363
578	11475	8343
579	11495	8324
580	11513	8303
581	11531	8282
582	11552	8263
583	11572	8243
584	11589	8221
585	11608	8201
586	11627	8181
587	11646	8160
588	11664	8139
589	11684	8120
590	11704	8100
591	11722	8078
592	11742	8059
593	11760	8038
594	11779	8018
595	11797	7997
596	11816	7976
597	11835	7956
598	11853	7935
599	11871	7914
600	11890	7893
601	11907	7872
602	11926	7852
603	11947	7833
604	11966	7812
605	11985	7792
606	12005	7772
607	12024	7752
608	12043	7732
609	12064	7713
610	12082	7692
611	12102	7672
612	12120	7651
613	12140	7632
614	12159	7612
615	12179	7592
616	12199	7572
617	12217	7552
618	12235	7531
619	12254	7510
620	12271	7489
621	12289	7468
622	12307	7447
623	12326	7427
624	12348	7408
625	12366	7388
626	12384	7367
627	12403	7347
628	12422	7327
629	12440	7306
630	12458	7285
631	12476	7264
632	12494	7243
633	12511	7222
634	12530	7202
635	12548	7182
636	12567	7161
637	12587	7141
638	12606	7121
639	12626	7102
640	12642	7080
641	12660	7059
642	12678	7039
643	12695	7018
644	12713	6997
645	12733	6977
646	12751	6956
647	12770	6936
648	12788	6916
649	12807	6896
650	12825	6875
651	12844	6855
652	12861	6834
653	12878	6813
654	12898	6793
655	12917	6774
656	12939	6755
657	12957	6734
658	12976	6714
659	12994	6694
660	13015	6674
661	13036	6655
662	13054	6635
663	13075	6616
664	13093	6596
665	13112	6575
666	13130	6555
667	13150	6535
668	13168	6515
669	13187	6495
670	13206	6475
671	13225	6455
672	13245	6435
673	13264	6415
674	13283	6395
675	13303	6376
676	13321	6355
677	13340	6335
678	13358	6315
679	13378	6295
680	13396	6275
681	13415	6255
682	13435	6235
683	13456	6216
684	13475	6196
685	13494	6176
686	13514	6157
687	13533	6137
688	13552	6117
689	13570	6097
690	13590	6077
691	13608	6056
692	13628	6037
693	13650	6018
694	13672	6000
695	13694	5981
696	13724	5966
697	13762	5954
698	13783	5935
699	13805	5916
700	13824	5896
701	13844	5877
702	13860	5855
703	13879	5835
704	13898	5815
705	13916	5795
706	13935	5775
707	13953	5754
708	13971	5734
709	13988	5713
710	14006	5693
711	14025	5673
712	14043	5652
713	14059	5631
714	14077	5611
715	14095	5590
716	14113	5570
717	14133	5551
718	14153	5531
719	14171	5511
720	14189	5490
721	14209	5471
722	14228	5451
723	14246	5430
724	14265	5411
725	14284	5391
726	14306	5372
727	14324	5351
728	14342	5331
729	14361	5311
730	14379	5291
731	14400	5272
732	14422	5253
733	14440	5233
734	14458	5213
735	14476	5192
736	14494	5172
737	14510	5151
738	14528	5131
739	14548	5111
740	14568	5092
741	14586	5071
742	14606	5052
743	14626	5032
744	14646	5013
745	14664	4993
746	14685	4973
747	14706	4954
748	14727	4935
749	14747	4915
750	14766	4895
751	14787	4876
752	14806	4856
753	14823	4836
754	14842	4816
755	14862	4796
756	14882	4777
757	14901	4757
758	14919	4737
759	14939	4717
760	14958	4697
761	14977	4678
762	14995	4657
763	15013	4637
764	15031	4617
765	15050	4597
766	15070	4578
767	15095	4560
768	15117	4541
769	15142	4523
770	15161	4503
771	15180	4483
772	15198	4463
773	15218	4443
774	15238	4423
775	15258	4404
776	15279	4385
777	15299	4365
778	15319	4346
779	15339	4326
780	15359	4306
781	15377	4286
782	15394	4266
783	15411	4246
784	15430	4226
785	15448	4206
786	15467	4186
787	15487	4166
788	15504	4146
789	15524	4126
790	15542	4106
791	15561	4086
792	15582	4067
793	15601	4047
794	15621	4028
795	15640	4008
796	15658	3988
797	15681	3969
798	15701	3949
799	15725	3931
800	15749	3912
801	15769	3893
802	15791	3874
803	15813	3855
804	15831	3835
805	15850	3815
806	15871	3795
807	15890	3775
808	15908	3755
809	15929	3736
810	15951	3717
811	15970	3697
812	15991	3678
813	16010	3658
814	16029	3638
815	16047	3618
816	16064	3598
817	16083	3578
818	16104	3559
819	16122	3538
820	16141	3519
821	16160	3499
822	16178	3479
823	16196	3459
824	16216	3439
