iter	RMSE
145	11379.57921
146	11362.59837
147	11346.36934
148	11316.49659
149	11299.36807
150	11282.39278
151	11270.24409
152	11260.36924
153	11252.42306
154	11239.2719
155	11228.88858
156	11203.90024
157	11185.00248
158	11170.69951
159	11148.58042
160	11131.42491
161	11100.00671
162	11088.8734
163	11059.77211
164	11045.44876
165	11029.63809
166	11014.76701
167	11005.81085
168	10996.64382
169	10963.13398
170	10940.47452
171	10916.02906
172	10908.77624
173	10895.53623
174	10880.69119
175	10861.75764
176	10836.28111
177	10826.9426
178	10812.45493
179	10792.3852
180	10768.31347
181	10756.3785
182	10745.88227
183	10724.26021
184	10705.51099
185	10692.8374
186	10685.08014
187	10674.87434
188	10666.8419
189	10645.51631
190	10633.45112
191	10621.16163
192	10609.46916
193	10588.46628
194	10578.42468
195	10572.42119
196	10555.91447
197	10540.26658
198	10525.06134
199	10506.62372
200	10485.88722
201	10476.04951
202	10453.68407
203	10439.69235
204	10431.09025
205	10419.20133
206	10409.08193
207	10394.18569
208	10385.52693
209	10372.08588
210	10355.80602
211	10344.73876
212	10335.17797
213	10322.42471
214	10316.25035
215	10307.77381
216	10298.97381
217	10284.85752
218	10267.87621
219	10257.47701
220	10250.33561
221	10235.34008
222	10228.28728
223	10222.20867
224	10209.34576
225	10201.27645
226	10178.99608
227	10171.05652
228	10163.54307
229	10154.93059
230	10137.17683
231	10129.46669
232	10121.32623
233	10111.91927
234	10103.63371
235	10090.24681
236	10076.49038
237	10063.43636
238	10055.31042
239	10042.43618
240	10024.1976
241	10018.20464
242	10009.24761
243	9997.453876
244	9979.062129
245	9966.70908
246	9958.455957
247	9947.509475
248	9939.05402
249	9931.203629
250	9923.653492
251	9916.368227
252	9901.963289
253	9895.568138
254	9883.812632
255	9866.268867
256	9857.223809
257	9852.177896
258	9842.543262
259	9818.612997
260	9812.932118
261	9808.528257
262	9804.359712
263	9790.585083
264	9783.443771
265	9775.874501
266	9765.731464
267	9757.582253
268	9752.298579
269	9747.757383
270	9740.145972
271	9731.11732
272	9719.455688
273	9705.161115
274	9699.949743
275	9681.695164
276	9674.654438
277	9671.056234
278	9659.497939
279	9650.122426
280	9639.032083
281	9633.298966
282	9623.994595
283	9615.519037
284	9609.597902
285	9600.379982
286	9592.054181
287	9582.580172
288	9575.769541
289	9570.982587
290	9564.048482
291	9555.355894
292	9544.784508
293	9536.237713
294	9529.56325
295	9525.433162
296	9516.878543
297	9511.930934
298	9504.624518
299	9498.898276
300	9489.794346
301	9479.700369
302	9469.272453
303	9462.175608
304	9447.887833
305	9441.103457
306	9434.526103
307	9429.253021
308	9413.662823
309	9406.156342
310	9400.235291
311	9395.28306
312	9389.394733
313	9378.241951
314	9371.867901
315	9366.251727
316	9362.555258
317	9353.828953
318	9344.283052
319	9338.203832
320	9332.207239
321	9329.548716
322	9325.715528
323	9320.525908
324	9315.415121
325	9310.477025
326	9304.717637
327	9297.73892
328	9290.932204
329	9286.087277
330	9281.833125
331	9277.187392
332	9271.173252
333	9265.277153
334	9258.696571
335	9253.147636
336	9236.784171
337	9230.951223
338	9222.370821
339	9216.704489
340	9212.168568
341	9204.488414
342	9199.77233
343	9191.693482
344	9186.059661
345	9181.585463
346	9178.62756
347	9171.939661
348	9167.737664
349	9158.703422
350	9155.033293
351	9149.075536
352	9135.670614
353	9131.012961
354	9124.83072
355	9121.148859
356	9114.872873
357	9108.644056
358	9100.836309
359	9097.078952
360	9090.752821
361	9084.672126
362	9078.612254
363	9068.41883
364	9064.032693
365	9060.065904
366	9055.848357
367	9044.614053
368	9041.115982
369	9019.42096
370	9016.389777
371	9007.308602
372	9002.556302
373	8996.714729
374	8990.989718
375	8984.09905
376	8979.167004
377	8976.018001
378	8972.861597
379	8965.795451
380	8963.344982
381	8958.270443
382	8954.719327
383	8950.30733
384	8946.222429
385	8940.003352
386	8934.410724
387	8931.656296
388	8926.64446
389	8921.683789
390	8916.492164
391	8913.573814
392	8906.721094
393	8901.076953
394	8896.677764
395	8886.394663
396	8880.053676
397	8874.583811
398	8870.504145
399	8862.592991
400	8859.206288
401	8856.531476
402	8851.736761
403	8849.270026
404	8843.872678
405	8837.597599
406	8833.42519
407	8826.932057
408	8824.396551
409	8817.788638
410	8815.668663
411	8811.219637
412	8802.402753
413	8796.79705
414	8787.036164
415	8780.676208
416	8775.657061
417	8772.455314
418	8769.01524
419	8764.29522
420	8758.346686
421	8753.238278
422	8749.206762
423	8744.808562
424	8739.334806
425	8731.983526
426	8728.503637
427	8726.495637
428	8720.457745
429	8715.343135
430	8709.625017
431	8705.965937
432	8703.14221
433	8699.047217
434	8695.796543
435	8686.053192
436	8680.264741
437	8676.722903
438	8674.038581
439	8666.271833
440	8663.354784
441	8660.798857
442	8654.328741
443	8652.775593
444	8648.29949
445	8641.481805
446	8633.229298
447	8629.040531
448	8625.314346
449	8616.107325
450	8612.489145
451	8607.999073
452	8605.927549
453	8601.623954
454	8599.083578
455	8596.025256
456	8593.463689
457	8590.692873
458	8587.539797
459	8584.972281
460	8583.048115
461	8575.991161
462	8574.853841
463	8570.976806
464	8561.042693
465	8548.391221
466	8544.2154
467	8535.950577
468	8532.810122
469	8528.154428
470	8525.183819
471	8521.432375
472	8519.572422
473	8516.188614
474	8512.722484
475	8508.269932
476	8505.117149
477	8501.99147
478	8498.896317
479	8494.235248
480	8490.378934
481	8487.897465
482	8486.249767
483	8483.991908
484	8477.158517
485	8466.297011
486	8462.075324
487	8460.05584
488	8457.087244
489	8455.622845
490	8451.768993
491	8447.77261
492	8444.455378
493	8438.383443
494	8436.712916
495	8434.926597
496	8433.152308
497	8430.723125
498	8426.701735
499	8422.3292
500	8419.751925
501	8415.947746
502	8412.891291
503	8410.560979
504	8408.073977
505	8405.42256
506	8402.009825
507	8399.647105
508	8397.517676
509	8394.82417
510	8392.719956
511	8388.481837
512	8386.768992
513	8382.315351
514	8375.535653
515	8371.549668
516	8368.770493
517	8367.083792
518	8362.040953
519	8360.578496
520	8357.999607
521	8351.825198
522	8350.053817
523	8346.709623
524	8339.619272
525	8334.429435
526	8331.076259
527	8325.629326
528	8321.962508
529	8319.15761
530	8312.142992
531	8309.371299
532	8307.481457
533	8298.024972
534	8294.964912
535	8289.994326
536	8287.99963
537	8281.80901
538	8277.421194
539	8273.378222
540	8270.639526
541	8268.769962
542	8266.018726
543	8261.599547
544	8257.500712
545	8254.110192
546	8250.918978
547	8232.520141
548	8228.374846
549	8223.14282
550	8221.379485
551	8206.186086
552	8202.493981
553	8199.617804
554	8197.406551
555	8196.275237
556	8195.051837
557	8189.503576
558	8187.905519
559	8184.170598
560	8182.963259
561	8181.635493
562	8177.285161
563	8175.142373
564	8172.5776
565	8171.129829
566	8169.540977
567	8151.640086
568	8149.920297
569	8142.857949
570	8135.326951
571	8134.189825
572	8129.16848
573	8126.932069
574	8118.818373
575	8112.695602
576	8108.310573
577	8106.039484
578	8102.344838
579	8100.372194
580	8099.36999
581	8096.743323
582	8092.877166
583	8086.996387
584	8085.338555
585	8073.641935
586	8065.974691
587	8064.440199
588	8059.671919
589	8057.826782
590	8052.677224
591	8050.640433
592	8047.704483
593	8046.395146
594	8043.739768
595	8040.612159
596	8036.316546
597	8034.472648
598	8032.083618
599	8029.447111
600	8028.449433
601	8027.028805
602	8024.277027
603	8022.286902
604	8018.486225
605	8014.82604
606	8012.708912
607	8008.848951
608	8005.306516
609	8001.909274
610	7999.883165
611	7998.284933
612	7996.876047
613	7993.664901
614	7992.045636
615	7989.222207
616	7986.076392
617	7980.695213
618	7978.980517
619	7976.969227
620	7973.284214
621	7971.715037
622	7969.602272
623	7964.975547
624	7963.345417
625	7962.198933
626	7960.83306
627	7958.89569
628	7957.476489
629	7955.474423
630	7954.390874
631	7952.570185
632	7950.811925
633	7946.884611
634	7943.960567
635	7942.95746
636	7940.866613
637	7938.196021
638	7936.355535
639	7934.139782
640	7932.764766
641	7930.835974
642	7927.246788
643	7923.022701
644	7921.711274
645	7918.859349
646	7917.48358
647	7915.91407
648	7913.963256
649	7911.619332
650	7908.384644
651	7905.106178
652	7903.465616
653	7902.079138
654	7899.783036
655	7897.833819
656	7889.730465
657	7886.992403
658	7885.303402
659	7881.901381
660	7880.720089
661	7878.648263
662	7876.426113
663	7872.60151
664	7870.773142
665	7868.710301
666	7867.566541
667	7866.151038
668	7865.315112
669	7864.420304
670	7862.623228
671	7858.540854
672	7855.508293
673	7853.74027
674	7843.92617
675	7840.834805
676	7835.384244
677	7833.883935
678	7832.92721
679	7831.233667
680	7828.826424
681	7827.419021
682	7825.573113
683	7822.606989
684	7820.003807
685	7816.608837
686	7814.310667
687	7813.063984
688	7808.929489
689	7806.868125
690	7804.834938
691	7803.727828
692	7801.085273
693	7798.162586
694	7792.835024
695	7790.535165
696	7788.013733
697	7785.893062
698	7773.51787
699	7772.49555
700	7770.891982
701	7765.85377
702	7764.696778
703	7761.913061
704	7760.299505
705	7757.965003
706	7754.709134
707	7752.252711
708	7750.636486
709	7747.630478
710	7746.01969
711	7744.782226
712	7743.130166
713	7741.820651
714	7740.886061
715	7739.613003
716	7738.321086
717	7736.877864
718	7732.171328
719	7729.451014
720	7728.226918
721	7724.726656
722	7722.930805
723	7721.28177
724	7719.064605
725	7717.030377
726	7713.371207
727	7712.28343
728	7710.857758
729	7710.082857
730	7708.985905
731	7707.838578
732	7706.855749
733	7705.693873
734	7703.443015
735	7702.022955
736	7700.366128
737	7698.935018
738	7697.908182
739	7693.889328
740	7692.634535
741	7690.351112
742	7689.182128
743	7688.4641
744	7680.832013
745	7676.088404
746	7675.236989
747	7669.953511
748	7667.455831
749	7664.229196
750	7663.417214
751	7658.658313
752	7655.615991
753	7654.106829
754	7652.957995
755	7651.376522
756	7650.183208
757	7649.069471
758	7648.088546
759	7646.17267
760	7645.002466
761	7643.884876
762	7642.792235
763	7640.452684
764	7639.183703
765	7636.339102
766	7635.27689
767	7633.688058
768	7632.886424
769	7628.668688
770	7627.17247
771	7626.197214
772	7624.844114
773	7624.048634
774	7622.193793
775	7619.386135
776	7618.155298
777	7617.073048
778	7615.660642
779	7614.50095
780	7612.157168
781	7610.642337
782	7610.018122
783	7609.211926
784	7608.48662
785	7607.092046
786	7604.749501
787	7603.007572
788	7591.933916
789	7590.223632
790	7589.049825
791	7584.603443
792	7583.700402
793	7581.934512
794	7580.625703
795	7579.078304
796	7577.655372
797	7574.498918
798	7573.69205
799	7571.944487
800	7565.287166
801	7563.249983
802	7562.364535
803	7558.863561
804	7556.564419
805	7554.880092
806	7553.290283
807	7551.084938
808	7549.695405
809	7548.391688
810	7546.974603
811	7546.189227
812	7544.922795
813	7542.954543
814	7541.05657
815	7540.198905
816	7537.408959
817	7536.039385
818	7532.498002
819	7523.267522
820	7522.127778
821	7516.949012
822	7516.280715
823	7513.030744
824	7505.892325
825	7502.810893
826	7500.231301
827	7497.581426
828	7495.880479
829	7495.311984
830	7494.488422
831	7493.785599
832	7492.904466
833	7490.694255
834	7489.859932
835	7489.248466
836	7488.445286
837	7485.745462
838	7484.44241
839	7481.193505
840	7479.26021
841	7478.512692
842	7473.059607
843	7471.529315
844	7470.310043
845	7468.452463
846	7466.071803
847	7464.775823
848	7463.498003
849	7460.113764
850	7457.685299
851	7451.089555
852	7449.905665
853	7448.563642
854	7448.196923
855	7446.914582
856	7441.043396
857	7440.155497
858	7439.440812
859	7436.711341
860	7434.514691
861	7430.864141
862	7430.073859
863	7428.213505
864	7427.131522
865	7423.090718
866	7421.396977
867	7419.704316
868	7417.676934
869	7415.062521
870	7413.87074
871	7412.087788
872	7410.047746
873	7408.645687
874	7407.602347
875	7405.514064
876	7402.924402
877	7400.831452
878	7399.728755
879	7397.969765
880	7396.653971
881	7396.064685
882	7395.600111
883	7393.289069
884	7391.224463
885	7388.438605
886	7386.908285
887	7385.830564
888	7384.744178
889	7383.403517
890	7382.401924
891	7377.120435
892	7368.047068
893	7366.618914
894	7364.505027
895	7361.344693
896	7357.26262
897	7356.454169
898	7355.015165
899	7353.009951
900	7351.840042
901	7350.554493
902	7349.620028
903	7347.342336
904	7346.679204
905	7345.673436
906	7344.389618
907	7343.277504
908	7341.284399
909	7333.663255
910	7332.634623
911	7330.773322
912	7328.868653
913	7326.454632
914	7324.757332
915	7318.790481
916	7316.060527
917	7314.636503
918	7312.898995
919	7312.088924
920	7310.498533
921	7309.138762
922	7307.980292
923	7306.960463
924	7305.828359
925	7305.035943
926	7303.285291
927	7302.392793
928	7300.55006
929	7296.279008
930	7290.942238
931	7287.362397
932	7285.268404
933	7284.32766
934	7283.875899
935	7283.258718
936	7278.629068
937	7273.190687
938	7272.116298
939	7268.229285
940	7266.049212
941	7263.866996
942	7262.896446
943	7261.049925
944	7260.419492
945	7257.787426
946	7253.831281
947	7253.37884
948	7252.688139
949	7251.237167
950	7249.593684
951	7248.617767
952	7247.02965
953	7244.279058
954	7243.665529
955	7242.589012
956	7241.647521
957	7240.492928
958	7239.027676
959	7237.571753
960	7235.908665
961	7235.02441
962	7234.468281
963	7233.205971
964	7232.100151
965	7230.157603
966	7228.761769
967	7228.021436
968	7226.478738
969	7224.187466
970	7223.220593
971	7220.910232
972	7219.505546
973	7218.135242
974	7215.970767
975	7214.538472
976	7211.459135
977	7209.338215
978	7208.123821
979	7206.608345
980	7205.978629
981	7205.154169
982	7200.876834
983	7193.179276
984	7191.221802
985	7189.867962
986	7189.329049
987	7188.596594
988	7187.905295
989	7186.904795
990	7185.973298
991	7184.670761
992	7180.570976
993	7179.361359
994	7176.853529
995	7176.11779
996	7174.006344
997	7172.857758
998	7170.929084
999	7170.372777
